AQC00914000        2116R  2022S  1840S  1780R  1820R  1306R  1274R  1383R  1570S  2003S  2036R  2242R
USC00317845         404R   368S   472R   349S   410S   413C   419C   424S   370S   380S   371S   409R
USC00317924         395S   353S   449S   343C   390S   390S   454C   413S   424C   377C   349S   325S
USC00317994         361C   333C   431C   330C   423C   446C   592C   510C   443C   304C   308C   294S
USC00318113         417S   371S   420S   297S   364R   444R   584S   682R   867S   401R   366S   382R
USC00318292         342S   336S   417S   357C   339S   423S   415C   382C   365C   339C   328C   364S
USC00318380         430Q   342Q   404Q   298Q   433Q   494Q   643Q   708Q   632Q   394Q   370Q   377Q
USC00318448         409S   412S   458S   405R   397R   462R   445R   458R   434S   346R   408R   405R
USC00318450         398Q   332Q   423Q   343Q   399Q   513Q   555Q   760Q   590Q   341Q   402Q   370Q
USC00318492         494S   498S   485C   418C   527C   523S   536S   369C   386S   274S   460S   492C
USC00318500         368S   322C   384S   306S   333S   388S   468S   499C   522S   310S   281S   306S
USC00318519         466Q   427Q   438Q   424Q   408Q   465Q   451Q   428Q   388Q   347Q   335Q   401Q
USC00318694         411S   382S   473S   434S   473S   516S   500C   501C   508S   396S   498S   399S
USC00318706         404C   348C   415S   319C   393C   498C   615C   638C   620C   366C   304C   345C
USC00318744         510C   486C   576C   458C   457C   538C   527C   618S   538C   465S   480C   524C
USC00318778         368S   359R   424S   348S   374S   443S   442S   441S   350S   330S   321S   373R
USC00318964         398S   356C   403C   294C   294C   422C   490C   459C   395C   380C   330C   320S
USC00319026         403Q   355Q   411Q   349Q   411Q   555Q   604Q   655Q   637Q   351Q   340Q   349Q
USC00319100         385S   332S   422S   314C   411S   444S   545S   522C   581C   328C   320S   326S
USC00319123         377C   400C   426C   412C   493C   596C   591C   438C   388C   234C   326C   368C
USC00319147         431S   448S   440C   376C   434S   407C   370C   420C   394C   265S   378S   409S
USC00319354         420R   346R   409R   288R   364R   444R   598R   582R   582R   353R   317R   350R
USC00319357         380C   325S   386S   302S   423S   450C   551C   564S   550S   309S   284S   304C
USC00319406         377R   359R   456R   387R   428R   422R   446R   508R   397R   347R   346R   378R
USC00319423         389S   350S   406S   325S   395C   520C   660S   661C   608S   362S   294C   337S
USC00319427         385R   324R   384R   335R   341R   490R   526R   552S   480R   329R   313R   306R
USC00319440         382S   315S   412S   317S   374S   471S   529S   554S   607S   390S   308S   324S
USC00319461         426Q   366Q   488Q   346Q   362Q   536Q   607Q   748Q   682Q   423Q   354Q   497Q
USC00319467         412S   369S   425C   289S   461C   486S   765C   712S   788C   374S   327C   376S
USC00319476         376S   314S   423C   303C   406S   410C   537C   491C   502S   314S   299S   329S
USC00319555         414S   373C   471C   425S   439C   432C   446C   514C   432C   358C   356S   408C
USC00319675         349C   331C   413C   361C   378C   416C   473C   349S   386C   339S   314S   363C
USC00319704         335R   330R   445R   407R   378R   352R   436R   580R   462R   345R   381R   349R
USC00319923         384R   345R   433R   284R   354R   377R   511R   493R   396R   307R   333R   315R
USC00320005          57R    59R   151R   169R   279R   363R   348R   296R   293R   226R    81R    64R
USC00320022          44S    45S    73S   108S   254S   372C   348C   272C   178S   148S    74S    52S
USC00320096          48R    21R    53R   100R   203S   279S   260S   151S   112S   100S    50R    46R
USC00320127          31R    38R    71R   149R   235R   334R   265R   201R   138R   120R    60R    45R
USC00320189          27R    27R    58R    85S   225S   282C   260S   164S   124S   100R    38S    25R
USC00320209          35R    30R    69R    90R   235R   284R   228R   134R   138S   114R    45R    41R
USC00320382          36S    41C    90C   137C   293C   351S   307C   262C   189S   162C    56S    33S
USC00320590          43R    40R    63R   160R   219R   264R   211R   148S   147R   131R    51R    46R
USC00320626          49Q    45Q    74Q    91Q   257Q   392Q   287Q   246Q   163Q   160Q    77Q    51Q
USC00320729          64R    50R    87R   112R   234R   334R   277R   170R   139R   131R    81R    59R
USC00320766          33R    46S    68R   152R   243R   347R   248R   169R   144R   138R    72R    42R
USC00320817          45Q    50Q    94Q   184Q   255Q   316Q   300Q   289Q   148Q   147Q    80Q    51Q
USC00320827          60R    47R    93R   133R   256R   315R   306R   211R   155R   132R    83R    60R
USC00320941          55S    42S    77S   100C   248S   355S   267S   242S   149S   128S    76S    58S
USC00320961          35R    49R    65R    98R   243R   328R   312R   211R   171R   115R    47R    32R
USC00320995          50S    50S    88C   123S   247C   308C   216S   107S   129S   138C    55S    48S
USC00321225          49R    45R    77R   125R   270R   324R   294R   177R   148R   150R    76R    30R
USC00321288          45Q    44Q    78Q   109Q   273Q   368Q   313Q   252Q   183Q   135Q    77Q    53Q
USC00321360          68R    56R    96R   118R   256R   355R   348R   242R   168R   166R    86R    56R
USC00321362          54R    40R    85R   117R   276R   377R   339R   231R   191R   177R    88R    55R
USC00321370          31R    68R    91R   129R   228R   325R   252R   188R   138R   125R    65R    52R
USC00321408          60R    53R   116R   145R   305S   395S   346R   262R   258R   243S    92R    62R
USC00321435          34C    36C    73C   107C   257S   368C   319S   243S   187C   168C    79S    46C
USC00321456          44Q    58Q    78Q   143Q   260Q   334Q   283Q   196Q   177Q   151Q    80Q    47Q
USC00321477          47S    45S   102S   132C   304C   357C   330S   259C   247C   220S    73C    56S
USC00321500          42Q    58Q    85Q   108Q   263Q   361Q   320Q   248Q   168Q   134Q    80Q    67Q
USC00321686          43R    44R    77R    94R   281S   317R   304R   264R   245S   182S    69R    56R
USC00321699          54R    40R    66R    86R   220R   315R   292R   171R   139R    97R    59R    54R
USC00321766          53R    52R   103S   123S   292S   343C   358C   283S   212C   187C    88R    64S
USC00321816          46R    43S    85S   105S   268S   330S   336C   238S   205S   165C    68S    43R
USC00321871          55R    35S    58S    85S   211S   287C   279S   161C   129C   104C    44S    44R
USC00322188          37R    45R    75S   134S   232S   360S   258S   156S   149C   127S    59S    39R
USC00322193          45S    42S    86S   137S   243S   330S   242S   171C   143C   130S    62S    53R
USC00322304          40S    45S    72S   111C   248S   336S   276S   204C   147C   131C    68S    56C
USC00322365          38R    31R    54R   121R   234R   322R   247R   143R   131R   138R    67R    33R
USC00322482          55R    34R   111R   155R   303R   326R   259R   274R   243R   171R    76R    31R
USC00322525          59S    44S    83S   104R   258S   363S   302S   250S   181S   149S    88S    66S
USC00322588          37R    41S   110S   167S   278S   329S   254S   191S   146S   144S    78S    42R
USC00322605          55R    61R   130R   174R   333R   354R   307S   265S   245S   206R    80R    54R
USC00322695          60Q    48Q   128Q   151Q   302Q   365Q   325Q   247Q   250Q   210Q    80Q    58Q
USC00322809          47R    32R    59R   137R   190R   299R   235R   156R   122R   133R    51R    36R
USC00322949          36R    43R    62R    90R   230R   355R   288R   197R   174R   104R    65R    48R
USC00323004          44R    59R   130R   132R   251R   306R   284R   184R   156R   112R    90R    61R
USC00323064          47S    53C   108S   156S   323C   324C   296S   229C   242C   177C    68S    42S
USC00323117          61S    52R   114S   176S   273R   404S   330S   214S   228R   210S    92R    58S
USC00323207          19R    32R    55R   104R   249R   283R   239R   157R   149R   130R    43R    23R
USC00323217          51Q    48Q    89Q   115Q   225Q   323Q   275Q   190Q   141Q   124Q    72Q    66Q
USC00323287          62R    53S   132S   162S   306S   329S   304S   222C   240S   197C    89S    54R
USC00323309          53R    42R    95R   132R   300R   340R   377R   215R   200R   162R    69R    46R
USC00323376          48R    31R    62R   117S   261R   377S   292S   211C   140S   118S    59R    34R
USC00323529          46Q    42Q    84Q   140Q   239Q   324Q   245Q   169Q   145Q   121Q    68Q    53Q
USC00323594          51R    65R    90R   110R   266S   374S   301R   265S   175S   164S    89R    51R
USC00323621          71S    59S   102S    98S   275S   374S   317S   314C   205C   192S    90S    65S
USC00323686          30R    36R    76R   119R   246R   361R   283R   237R   144R   132R    61R    52R
USC00323705          37R    36R    79R   127R   246R   323R   233R   164R   143R   123R    62R    49R
USC00323826          34C    38C    84C   141S   264C   338S   291S   204S   158C   170C    56C    39C
USC00323846          46Q    44Q    83Q   138Q   246Q   340Q   265Q   168Q   142Q   132Q    67Q    46Q
USC00323963          60S    44R    84S    88S   242S   364S   269S   270S   151S   128S    87S    74R
USC00324013          29R    51R    83R    94R   235S   341R   265R   249R   164S   147R    68R    51R
USC00324083          32R    46R    87R   119R   252R   350R   290R   221R   166R   165R    56R    40R
USC00324091          49R    41R    86R   149R   251R   286R   246R   158R   132S   113R    72R    44R
USC00324102          34R    32R   106R   153R   249R   328R   266R   167R   153R   139R    69R    33R
USC00324178          34R    41R    77R   142R   256R   300R   206R   171R   141R   120R    49R    28R
USC00324180          38Q    45Q   100Q   150Q   246Q   320Q   229Q   194Q   144Q   136Q    60Q    46Q
USC00324203          53R    58S   112R   140R   270R   361S   329S   249S   219S   217S    88S    66R
USC00324372          52Q    44Q    77Q   103Q   291Q   355Q   302Q   231Q   172Q   143Q    88Q    62Q
USC00324418          50R    39R    91R   115S   267S   346S   329S   213S   225S   169R    73R    43R
USC00324571          48S    39S    66S   112S   239S   326S   288C   154S   140S   140S    65S    54C
USC00324646         106R    67R    93R    96R   252R   287R   303R   188R   162R   136R    66R    74R
USC00324722          43Q    35Q    70Q   131Q   233Q   313Q   254Q   166Q   144Q   132Q    62Q    46Q
USC00324879          55R    51R    78R    97R   285R   391S   315S   257S   183S   146R    94R    59R
USC00324937          76R    64R   150R   168R   298R   351S   352S   235S   223S   188R   102R    70R
USC00324958          46S    39S    65C   102C   269S   388S   322C   257S   181S   149C    72C    52C
USC00325002          62Q    48Q    87Q   133Q   245Q   340Q   276Q   188Q   145Q   124Q    77Q    60Q
USC00325078          55S    54R    96S   132R   259R   323R   316R   232R   150R   161R   110R    55R
USC00325090          36Q    50Q    88Q   134Q   261Q   337Q   257Q   171Q   144Q   126Q    65Q    35Q
USC00325186          68R    63R   128R   187R   302R   389R   350R   224R   254R   206R    96R    64R
USC00325210          32R    50R    70R   114R   257R   299R   273R   204R   125R   161R    60R    45R
USC00325220          64R    50R   109R   160R   295S   316R   314R   211S   255S   212R    74R    53R
USC00325230          59S    46S   111S   152S   303C   350S   336C   221S   245C   213C    77C    60S
USC00325434          47R    52R    80R   109R   210R   368R   340R   171R   190R   160R    64R    54R
USC00325479          37S    40S    64S   120S   261S   331C   326C   215S   154S   137S    68S    42S
USC00325575          37R    58R    74R   148R   245R   273R   208R   137R   132R   124R    61R    51R
USC00325638          58S    42C    82C   117C   261S   366S   276C   203S   152C   132C    70S    49S
USC00325660          69R    56R   106R   118R   269R   375R   462R   319R   239R   223R    86R    70R
USC00325710          57S    48S    72R   121S   245S   323S   262S   211S   158S   137S    67R    55S
USC00325730          61S    54S    98S   119S   258S   362C   341C   286C   204C   166S    96S    74S
USC00325754          61C    56S   107S   155S   281S   386S   351S   214S   239S   233S    85S    75S
USC00325764          61R    49R    85R   107R   245R   376R   354R   291R   260R   169R   105R    72R
USC00325798          46S    48S    93S   107S   271S   313R   324S   203S   194S   143S    60S    50S
USC00325813          30R    36S    77R   134S   249S   286S   219S   130S   130S   114S    57R    35R
USC00325848          43R    43R    84R   125R   286R   342R   283R   200R   181R   151R    78R    64R
USC00325993          71S    46S    97S   126S   257C   349S   255C   200S   144C   141S   100S    73R
USC00326015          24R    33R    62R   100R   224R   351R   301R   223R   173R   129R    38R    32R
USC00326025          51R    45R    74R   111R   220R   318R   259R   219S   161R   148R    63R    48R
USC00326105          53S    51S   100C   137C   276C   342C   343C   224S   221C   173C    77C    51S
USC00326155          42R    74R    91R   170R   253R   285R   219R   152R   132R   128R    60R    50R
USC00326255          56C    52S   108C   148S   279S   348S   294S   220C   175S   163S    76S    55S
USC00326315          28R    32S    94R   147R   237S   327S   197C   170C   135S   137S    46S    28R
USC00326365          44S    47C    80S   154C   251C   305C   277C   191C   148C   126C    67S    51S
USC00326620          56Q    55Q   129Q   178Q   296Q   377Q   322Q   236Q   252Q   201Q    79Q    54Q
USC00326857          61R    60R   108R   130R   277R   346R   337R   249R   184R   184R    72R    76R
USC00327027          55R    44R    72R    98R   249S   376C   322S   275S   208C   169S    81R    73R
USC00327047          56R    36R    78R   111R   234R   337R   309R   193R   221R   143R    74R    59R
USC00327281          44R    29R    58R    90R   218R   270R   307R   173R   135R   116R    48R    44R
USC00327311          29C    45C    91C   150C   255C   299C   220C   175C   146C   124C    60C    30C
USC00327450          36S    36S    84S   131C   271C   312C   227C   172C   146S   143S    52S    35S
USC00327452          36R    41R    94R   155R   238R   284R   198R   152R   148R   119R    44R    43R
USC00327465          36Q    47Q    87Q   144Q   250Q   317Q   251Q   186Q   152Q   129Q    72Q    49Q
USC00327530          39S    40R    85R   142C   243C   319S   216S   171S   149S   137C    67S    47S
USC00327655          48Q    48Q    85Q   133Q   272Q   353Q   310Q   226Q   176Q   127Q    79Q    78Q
USC00327664          45S    40S    80S   104S   249S   366S   298S   245S   171S   131S    84S    52S
USC00327704          43R    48R   108R   126R   285S   350S   337S   215C   179S   118R   103R    52R
USC00327986          55R    50R   104R   136R   267R   375R   312R   270R   181R   211R    90R    68R
USC00328047          21R    26R    74R    66R   190S   289S   259S   200S   115S   107S    26R    34R
USC00328065          41S    43S    84S   139C   261C   318C   270S   170C   135C   129C    60C    40S
USC00328276          58C    44S    80S   122S   255S   364S   303C   212S   170C   130C    73S    58S
USC00328366          53R    47R   104R   133R   265S   311R   319S   214S   192S   166R    81R    53S
USC00328415          36R    39R    79R   108R   245R   341R   320R   231R   204R   136R    61R    40R
USC00328608          61R    60R    95R   124C   245S   353S   352S   195S   183S   179S    75R    58R
USC00328627          59C    41C    79S   104C   214S   319C   269C   164C   151C   116C    66C    52S
USC00328660          36Q    36Q    80Q   143Q   229Q   317Q   244Q   159Q   140Q   129Q    61Q    41Q
USC00328737          59R    35R    61S    98S   207S   278S   249C   166C   123S   104S    56S    57R
USC00328792          50S    54S    89R   102C   234S   317S   269C   188S   152C   126S    79S    59R
USC00328812          34C    33C    67C   124S   215S   291C   208C   144C   136C   126C    59C    44C
USC00328840          63S    42R    71R   132S   251S   349C   270S   190S   138S   121S    76S    52S
USC00328850          38R    39R    69R   116R   245R   322R   272R   224R   172R   131R    59R    48R
USC00328853          31Q    19Q    62Q    89Q   250Q   355Q   282Q   215Q   185Q   131Q    58Q    37Q
USC00328872          59S    46S    83S   149S   253S   364S   247S   163S   127S   137S    80S    56S
USC00328913          58C    50C    83S   108S   223S   384S   270S   197C   141C   125S    87S    65S
USC00328937          52S    48S    89S   118S   291S   359S   289C   264S   240S   182S    72S    58S
USC00328990          61R    46R    82R   126R   241R   362R   304R   200R   148S   146R   108R    57R
USC00329035          46R    36R    92R   141R   284S   311R   355R   194S   248S   195S    75R    63R
USC00329100          57R    35R   107R   175R   317R   328R   319R   245R   291R   239R    66R    52R
USC00329155          75R    86R    71R   105R   273R   372R   307R   249R   185R   174R   119R    76R
USC00329195          45R    50R    69R   147R   250S   329S   256R   185R   140S   127R    79R    41R
USC00329233          56R    35R    62R    85R   220R   300R   259R   142R   100R   103R    58R    47R
USC00329246          39R    28R    63R   119S   227S   299S   229C   183C   144C   141S    54R    49R
USC00329333          52S    44C    84S   109S   235S   342C   288S   201S   139S   129S    67S    53C
USC00329400          54S    35S    56S    86S   211S   296S   286C   154C   121S   111C    53S    54S
USC00329430          49S    29C    58C   100C   203C   275C   247C   160S   118C    97C    55C    40C
USC00329445          54R    35R    75R   109S   249C   360S   273S   245S   149S   119S    66R    49R
USC00329455          53R    44R    74R   144S   261R   355R   300R   225R   169R   151R    66R    68R
USC00329515          47Q   128Q   103Q   145Q   278Q   363Q   304Q   230Q   203Q   160Q    66Q    62Q
USC00329575          37R    42R    64R   114R   270R   321R   376R   203R   199R   168R    65R    40R
USC00329650          49R    47S    70R   132R   220S   319S   256S   173S   121S   133R    65R    60R
USC00330061         189R   203R   277R   337R   393R   337R   398R   349R   351R   289R   346R   281R
USC00330256         241R   203R   279R   361R   440R   426R   403R   412R   316R   288R   321R   261R
USC00330264         310R   214R   249R   364R   315R   404R   405R   401R   429R   420R   400R   321R
USC00330279         260R   259R   329R   335S   443R   374S   435S   325S   282S   265S   330S   300S
USC00330430         306R   257R   352R   369R   467R   465R   445R   340R   346R   311R   379R   343R
USC00330563         266S   222S   286S   354S   424S   450S   419S   375S   288S   266S   327C   305S
USC00330573         309R   281S   398S   331C   450S   383S   386S   341S   292S   282S   316S   337R
USC00330676         304Q   274Q   363Q   335Q   446Q   415Q   442Q   389Q   317Q   282Q   325Q   303Q
USC00331042         208Q   216Q   288Q   361Q   398Q   357Q   403Q   350Q   333Q   288Q   311Q   264Q
USC00331057         308S   256S   346S   392S   476S   430S   457S   331S   325S   300C   344S   320C
USC00331072         242S   199S   257S   343S   423C   447S   447C   366C   321C   263S   317C   284S
USC00331152         307S   243S   310S   348S   426S   428S   412S   347S   344S   282S   331S   288S
USC00331175         303Q   253Q   354Q   355Q   462Q   418Q   410Q   456Q   325Q   297Q   317Q   292Q
USC00331197         298C   228C   299S   349C   425C   405C   405S   329C   329S   281C   330C   282S
USC00331245         213R   201R   259R   305R   356R   371R   363R   360R   320R   267R   281R   239R
USC00331288         293R   294R   361R   346R   470S   398R   439R   326R   317R   277R   316R   303R
USC00331390         233S   215S   259S   354S   398C   407C   481C   355C   260C   265S   324S   267S
USC00331404         283R   252R   311R   382S   448S   457S   422S   343R   294R   286S   351R   326R
USC00331458         368S   285C   339S   399C   446S   454C   434C   416C   435C   409S   442C   447S
USC00331515         335S   299S   419S   421S   543S   433C   460S   336S   287S   347S   369S   368S
USC00331528         284Q   274Q   355Q   367Q   486Q   359Q   416Q   346Q   287Q   283Q   315Q   297Q
USC00331536         293S   281S   400S   347S   469S   370S   378S   304S   270S   286S   311S   295R
USC00331541         261S   218S   291S   342S   397C   389S   421S   362S   338S   275S   325S   305S
USC00331550         348R   304S   435S   444S   601S   440C   430S   355S   295R   350S   383S   386S
USC00331592         255S   215S   294S   354S   484C   382C   385S   325S   291C   295C   312S   300S
USC00331777         277S   219S   290S   348S   438S   423S   457S   363S   298S   279S   322S   304S
USC00331783         286R   232R   313R   376R   456R   371R   442S   315R   303S   271R   332R   314R
USC00331858         302S   245S   319C   361C   417C   436C   377S   324S   302C   290S   326S   325C
USC00331890         298S   244C   334S   380C   455C   404C   441S   365S   313C   289C   348S   304S
USC00331905         251S   208S   292C   340C   404C   408S   427C   353C   296C   251S   311C   274S
USC00332044         281S   245C   313S   355C   467S   461C   442C   340C   316C   276C   326S   322C
USC00332067         285C   231S   332S   401C   481S   399S   428S   285C   271S   287C   332S   301S
USC00332098         218S   210C   251S   341S   396C   364S   409S   302S   325S   295C   307S   272S
USC00332119         244R   203R   257R   324R   423R   436R   440R   302R   305R   287R   334R   274R
USC00332160         291R   213R   317R   357R   403R   448R   392R   363R   348R   271R   331R   304R
USC00332251         267S   213R   277S   358S   400C   452S   468S   378C   434C   401C   372S   345S
USC00332485         271S   222S   324C   399C   510S   415C   433C   293C   280S   301S   347C   315S
USC00332599         258C   227C   275C   337C   377C   374C   374C   392C   372C   310C   338C   316C
USC00332603         254Q   211Q   268Q   333Q   381Q   423Q   395Q   369Q   344Q   297Q   332Q   307Q
USC00332626         316R   262R   321R   349R   440R   320R   406R   388R   293R   292R   312R   321R
USC00332651         307R   271R   386R   430R   527R   399R   393R   314R   282R   318R   347R   346R
USC00332727         299R   278R   369R   374R   586R   433R   390R   287R   328R   314R   329R   335R
USC00332791         232C   208C   256C   343S   414C   418C   391C   364S   271C   266C   296C   272C
USC00332847         248R   207R   261R   349R   382R   395R   370R   328R   342R   269R   346R   295R
USC00332895         262Q   207Q   281Q   369Q   409Q   456Q   455Q   348Q   280Q   274Q   323Q   248Q
USC00332928         288R   231S   333S   385R   489S   367S   426R   272R   251S   307S   339S   316R
USC00332956         285Q   242Q   314Q   357Q   439Q   424Q   417Q   339Q   330Q   279Q   324Q   300Q
USC00332974         229C   215C   257C   343C   396C   407C   354S   315C   311C   288C   302S   283C
USC00332976         178R   199R   225R   322R   368R   363R   353R   311R   299R   304R   270R   251R
USC00333021         267S   210S   271C   364C   448S   479C   456S   379C   317C   280C   340S   320S
USC00333029         271R   309S   367S   346S   448S   376S   397S   346C   318S   286S   320S   316S
USC00333292         220Q   202Q   250Q   341Q   394Q   376Q   369Q   363Q   255Q   290Q   293Q   263Q
USC00333375         241S   211S   300C   369C   454C   409C   431C   315C   255C   289C   333S   280S
USC00333393         239R   208S   281R   336R   429R   467R   430S   349S   318S   260R   304S   268R
USC00333482         283Q   243Q   376Q   405Q   514Q   415Q   436Q   321Q   273Q   310Q   349Q   341Q
USC00333500         304R   294S   361S   333S   452S   408S   438S   349S   312S   272S   337S   324R
USC00333722         203R   188R   246R   348R   420R   371R   396R   334R   332R   291R   292R   263R
USC00333758         313S   302S   390S   407S   497S   375S   373S   340S   313S   305S   316S   325S
USC00333780         299S   251S   323S   370C   418S   402C   404C   363C   375C   347C   367S   349S
USC00333838         265R   239R   297R   336R   424R   383R   394R   358R   280R   250R   343R   273R
USC00333874         189R   186R   231R   322R   377C   350C   379S   343C   264S   264S   284R   252R
USC00333915         219R   203S   263S   363S   446C   417C   467S   350S   285C   285C   334S   267S
USC00334004         298R   297R   392R   347R   477R   401R   439R   327R   285R   282R   337R   322R
USC00334038         276Q   220Q   336Q   375Q   508Q   399Q   435Q   317Q   284Q   299Q   324Q   296Q
USC00334189         236R   220R   253R   337S   414S   368S   370S   331S   274S   242S   308R   290R
USC00334238         303S   258S   372S   418S   533S   384S   427S   356S   277S   311S   334S   327S
USC00334258         198Q   233Q   267Q   288Q   290Q   385Q   314Q   333Q   290Q   275Q   293Q   282Q
USC00334260         313R   227R   289R   367R   382R   428R   441R   373R   448R   382R   405R   450R
USC00334319         251R   187R   258R   332R   394R   407R   369R   319R   349R   264R   329R   261R
USC00334403         287Q   221Q   293Q   357Q   439Q   385Q   431Q   322Q   314Q   278Q   305Q   285Q
USC00334434         241C   231S   322S   358C   440C   383S   417C   334S   300S   265S   315S   265S
USC00334551         237S   223S   267C   350S   418C   383S   415S   350S   301S   271S   337C   278C
USC00334672         306Q   231Q   332Q   368Q   468Q   397Q   442Q   382Q   353Q   291Q   313Q   366Q
USC00334681         265R   217R   309R   360R   454R   427R   409R   311R   263R   280R   329R   309R
USC00334728         266S   224R   298R   345R   428R   419R   454R   351R   328R   282S   321S   296S
USC00334874         271R   205R   279R   383R   443S   446S   387S   370C   331S   288S   321R   289R
USC00334924         313R   283R   398S   335S   432S   430S   448S   345S   316S   282C   327S   324S
USC00334927         313S   281S   374S   337S   433S   458C   457S   356C   318S   290S   321S   332S
USC00334942         269R   183R   233S   360S   445C   444S   436S   352S   321C   287S   309S   289R
USC00334967         236R   199R   274R   346R   423R   392S   395R   399R   342R   284R   302R   265R
USC00334979         235C   201S   270S   329S   446S   436C   416C   318C   292C   256C   312C   277S
USC00335029         323C   294C   400C   378C   496C   392C   451C   353C   313C   302S   349C   324S
USC00335041         329R   258R   366R   381S   466S   413S   450C   354S   317C   293C   345S   327S
USC00335188         371Q   264Q   379Q   415Q   532Q   424Q   416Q   352Q   278Q   332Q   362Q   340Q
USC00335220         270S   228S   332R   394R   464R   382S   416R   330R   258S   315R   327R   326R
USC00335268         294R   261R   394R   419R   545R   474R   403R   385R   306R   336R   367R   355R
USC00335297         266R   196R   292R   339R   440R   463R   428R   322R   314R   271R   316R   279R
USC00335315         258R   241R   281R   337R   404S   384S   409S   306S   339S   279S   305R   306R
USC00335356         256R   192R   262R   343R   384R   430R   455R   341R   365R   291R   312R   272R
USC00335438         214S   201S   265S   347C   410S   358S   347C   387S   326C   290S   314S   264C
USC00335505         240C   196S   270S   334C   397S   381S   454S   323C   407C   315C   323S   279S
USC00335535         267R   219R   292R   358R   458R   415R   402R   376R   312R   265R   332R   296R
USC00335669         213R   208S   250R   350S   396S   379R   367S   353R   318S   283S   290S   270R
USC00335718         285S   249C   304C   316C   440S   331S   408S   317C   247C   267S   296S   269C
USC00335747         302S   257S   317S   366C   441C   455S   438C   357S   298C   294C   328C   321C
USC00335786         279C   233C   307C   388C   463C   417S   457C   304S   309C   290C   322C   305C
USC00335794         232R   226R   274R   357R   460R   415R   420R   293R   305R   269R   299R   253R
USC00335857         306S   254S   353S   375S   466C   405S   449C   299S   304S   293S   345S   308S
USC00335894         274R   250R   311R   352R   446R   441R   413R   382R   326R   270R   323R   293R
USC00335939         308R   289R   387R   335R   464R   406R   459R   383R   311R   289R   331R   336R
USC00336118         231C   201S   254C   355S   380S   421C   390C   364C   336C   276S   309C   277S
USC00336196         254S   222S   268S   341C   389C   383C   382C   327S   337S   285S   331S   282S
USC00336342         222R   219R   235R   323R   387R   416R   384S   316R   301R   267R   291R   269R
USC00336389         259R   201S   269S   322S   335S   384S   374C   338S   407C   356S   353S   306S
USC00336405         226C   202C   258C   348C   411C   415C   380S   328S   296S   268S   316S   267S
USC00336465         207S   194S   241S   325S   417S   359S   382C   317S   291S   271S   282S   254S
USC00336600         247S   207C   293C   337C   433C   417S   404C   316C   316C   263C   307S   259S
USC00336616         282Q   238Q   313Q   358Q   435Q   416Q   413Q   341Q   314Q   271Q   325Q   292Q
USC00336630         317R   285S   382C   346C   450S   336S   407S   310C   277S   290S   312C   331S
USC00336645         301R   244R   313R   392R   440R   445R   447R   383R   288S   295R   360R   302R
USC00336650         237Q   227Q   303Q   374Q   441Q   405Q   438Q   318Q   271Q   285Q   335Q   291Q
USC00336697         262S   207S   306S   361C   446C   409C   439C   309C   274C   285C   328S   294C
USC00336781         305S   278C   365S   355S   496S   354C   418S   356S   267S   264S   307C   323S
USC00336861         244S   191C   255S   340S   419C   422S   399C   320S   321C   274C   337S   283S
USC00336882         191R   168R   242R   303R   372R   323R   345R   329R   295R   267R   265R   219R
USC00336949         259S   223S   285S   330S   431S   407C   438C   356C   375C   318S   332C   312S
USC00337120         310R   288R   438R   399R   536R   439R   488R   344R   305R   350R   345R   353R
USC00337255         294R   207R   293S   349S   428S   424S   425S   317C   343S   261S   334C   278S
USC00337303         235R   214R   277R   355R   409R   433R   444R   444R   333R   287R   310R   280R
USC00337383         202S   188S   245S   328S   402S   407S   448S   345S   265C   257S   306S   249S
USC00337400         243R   209R   298R   353R   437R   438R   462R   292R   303R   295R   329R   294R
USC00337410         296R   281R   368R   335R   470R   359R   392R   329R   287S   289S   328S   318S
USC00337538         268S   230S   325S   360S   487S   393S   398S   325S   274S   285S   308S   287S
USC00337559         294Q   247Q   315Q   352Q   424Q   446Q   419Q   358Q   364Q   296Q   362Q   297Q
USC00337693         249C   223C   284C   357C   419C   455C   421C   376S   281S   281C   337S   286S
USC00337857         339R   337R   446R   378R   510R   434R   512R   367R   348R   324R   363R   377R
USC00337935         242S   185S   247S   333S   468S   419S   458S   333S   314S   277S   304S   271S
USC00338025         303R   246S   317S   346S   425S   420S   430S   360S   362R   282S   354S   305S
USC00338110         244R   198R   221R   285R   366R   361R   318R   340R   316R   282R   279R   271R
USC00338313         231S   215S   248S   344S   403S   406S   355S   350S   336S   263S   312S   289S
USC00338332         266S   221S   312S   375S   466S   427S   436S   281S   327S   287S   321S   303S
USC00338534         190R   187R   241S   345S   438S   415S   453S   355S   307S   247S   325S   265R
USC00338552         264S   209C   287S   374S   489S   435C   546C   341S   309C   297S   328S   301S
USC00338560         253R   249R   300R   357R   407R   417R   445R   331R   310R   268R   317R   266R
USC00338565         278R   232R   312R   339R   420R   388R   426R   349R   320R   287R   292R   299R
USC00338609         215S   184R   228S   331S   441S   445S   435C   372S   295S   297S   313S   283R
USC00338642         242S   214S   289C   368S   413S   408C   441C   332S   260S   275C   306C   273S
USC00338769         264C   200S   298S   351S   400S   399C   468C   337C   378C   295C   316S   287C
USC00338794         262R   240R   355R   357R   503R   336R   370R   349R   295R   299R   319R   286R
USC00338810         312R   316R   378R   350R   515R   402R   545R   373R   344R   298R   329R   334R
USC00338822         182S   170S   225C   314C   378C   350C   363C   360C   319C   288C   291S   242S
