AQC00914000        2116R  2022S  1840S  1780R  1820R  1306R  1274R  1383R  1570S  2003S  2036R  2242R
USC00011301         554R   509R   593R   412R   432R   425R   556R   415R   357R   286R   532R   514R
USC00011324         482Q   502Q   580Q   418Q   360Q   415Q   551Q   406Q   368Q   332Q   456Q   496Q
USC00011377         568R   509R   527R   482R   464R   466R   543R   397R   437R   393R   459R   517R
USC00011490         521Q   526Q   526Q   427Q   434Q   434Q   474Q   441Q   373Q   339Q   448Q   467Q
USC00011620         518S   569S   511S   437S   437C   431C   424S   355C   386C   335C   466C   478C
USC00011690         537R   503S   552R   372R   397S   410S   456S   409S   357S   282S   505S   503S
USC00011694         535R   560R   572R   469R   411S   493S   555S   393S   384S   346S   534S   536R
USC00011810         542S   461S   519S   384S   466S   472S   464S   404S   339S   312S   460S   471S
USC00012096         559R   564R   493R   491R   533R   458R   450R   411R   455R   372R   485R   591R
USC00012172         529S   530S   531S   427S   441C   514C   623S   719S   538R   385C   414S   487R
USC00012245         544S   537C   504S   445S   413C   414C   468S   460C   369S   354S   462S   482S
USC00012377         523Q   507Q   583Q   394Q   366Q   543Q   612Q   477Q   378Q   327Q   436Q   445Q
USC00012577         534S   519R   634S   397R   442S   570R   596S   449S   412S   353S   463R   435S
USC00012675         531R   460R   585S   399S   359S   500R   599S   452R   384R   303R   411S   448R
USC00012730         451R   453R   574R   361R   326R   460R   515R   357R   362R   296R   410R   449R
USC00012758         567C   533C   614C   446C   452S   552S   651C   507C   431C   355C   488C   506S
USC00012813         564C   556S   573C   444S   491S   660S   805S   720S   594S   425S   498S   457S
USC00012840         530R   465R   504R   424R   477R   462R   411R   403R   388R   401R   432R   507R
USC00012883         545R   532R   546R   490R   453R   492R   420R   384R   336R   363R   481R   508R
USC00013043         499R   508R   461R   400R   471R   402R   611R   397R   312R   306R   521R   525R
USC00013154         527R   499R   515R   464S   464S   437S   472R   388S   396S   365S   496R   436S
USC00013160         512S   534S   535S   454S   407S   414S   446S   341S   325S   381S   461S   456S
USC00013251         549C   531C   619S   408C   368S   579S   580C   503C   425C   352C   524C   473C
USC00013271         548R   490R   623R   400R   432R   520R   533R   544R   482R   356R   513R   477R
USC00013430         551R   553R   579R   429R   442R   459R   447R   392R   400R   353R   495R   484R
USC00013511         520S   559C   491C   464C   457C   374S   451C   370S   396S   337S   459S   470S
USC00013519         527C   486S   610C   397C   394C   500S   579C   476C   417C   364C   520C   466C
USC00013573         495R   531R   497S   445S   447S   404S   434S   397S   380S   332S   446S   525S
USC00013575         528R   594R   548R   418R   478R   340R   429R   387R   436R   338R   479R   505R
USC00013620         547R   556S   521S   515S   622C   483S   508S   435S   433S   415S   572S   618S
USC00013645         526C   549C   480C   517S   630S   495C   475S   401C   388S   383C   520C   608C
USC00013655         539R   549R   514R   510R   542R   435R   460R   347R   420R   375R   503R   492R
USC00013761         523S   501S   541S   363S   335S   496S   584S   423S   419S   340S   417S   435S
USC00013775         509S   576S   532S   442S   495S   431S   550S   355S   327S   345S   471S   472S
USC00013781         513R   551R   503R   470R   471R   488R   469R   453R   370R   366R   452R   397R
USC00013816         492S   507S   605S   395S   386R   516S   512R   506R   372R   329S   502S   450S
USC00013930         500S   515S   464S   387S   402S   440C   423C   361C   324S   331S   464C   435C
USC00014080         472R   430R   575R   396R   363R   349R   547R   337R   331R   340R   470R   430R
USC00014193         526R   556R   603R   402R   487R   517S   568R   501S   417S   349S   542R   550R
USC00014209         489R   504S   510S   430R   434S   427S   475R   348R   359R   327R   446S   427S
USC00014226         553R   572S   543S   499S   535R   487S   516S   333R   426S   400S   535R   568R
USC00014274         499C   498S   583C   380S   368C   387S   513S   354C   381S   286C   468S   474C
USC00014306         411R   510R   423R   402R   332R   385R   472R   310R   362R   294R   430R   426R
USC00014431         583R   485R   646R   390R   473R   534R   634R   462R   442R   387R   482R   466R
USC00014502         502S   507S   572S   455S   427S   418S   512S   420S   371S   328R   458S   485S
USC00014603         484R   487R   461R   362R   364R   432R   478R   323R   342R   321R   421R   439R
USC00014619         506S   513S   518S   440S   475S   496S   539S   432S   449S   378S   502R   474S
USC00014798         524R   532R   500R   452R   492R   448R   543R   451R   324R   373R   483R   486R
USC00014866         510R   512R   479R   392R   442R   431R   507R   376R   413R   311R   392R   421R
USC00015112         530R   591R   533R   443R   416R   375R   513R   413R   379R   357R   516R   496R
USC00015116          89Q   104Q   253Q    59Q    86Q   246Q   157Q     0Q   158Q    38Q   159Q     5Q
USC00015121         516S   519C   508C   433S   362C   443C   520S   407C   379C   307C   475C   498S
USC00015397         466Q   462Q   601Q   417Q   414Q   478Q   436Q   412Q   322Q   290Q   460Q   419Q
USC00015420         507S   518S   522S   378S   370S   400C   455S   365S   326S   290S   457C   486S
USC00015439         470S   494S   605S   401S   404S   434S   494R   412R   364S   307R   491S   445R
USC00015465         519R   515R   570R   378R   356R   403R   450R   325R   373R   356R   496R   473R
USC00015537         506R   564R   500R   449R   432R   495R   557R   400R   463R   353R   505R   508R
USC00015553         462Q   508Q   547Q   397Q   365Q   462Q   527Q   422Q   364Q   305Q   467Q   454Q
USC00015635         518S   528S   511S   461S   565S   440S   434S   366S   386S   392S   512S   603S
USC00015658         534S   566S   542S   494S   399S   434S   512S   382S   391S   373S   509S   467R
USC00015752         486Q   483Q   492Q   486Q   610Q   484Q   470Q   337Q   415Q   383Q   500Q   580Q
USC00016000         528R   540R   534R   457R   506R   548R   524R   430R   449R   374R   496R   505R
USC00016121         529R   550R   498R   436R   473R   467R   547R   331R   361R   350R   490R   509R
USC00016129         479R   532R   623R   430R   338R   461S   528S   406S   358R   360R   474S   484R
USC00016196         538Q   513Q   522Q   423Q   498Q   457Q   464Q   350Q   418Q   357Q   486Q   556Q
USC00016246         510S   519S   533S   456S   496S   493S   505S   353S   427S   366S   493S   474S
USC00016334         538R   574R   603R   422R   460R   497R   537R   396R   446R   325R   504R   503R
USC00016436         541S   512S   599S   425C   395S   443S   515S   405S   406C   356C   513S   502S
USC00016478         497C   496C   542C   454C   491C   431C   462C   368S   365C   342C   497S   464C
USC00016847         569S   576S   517C   479S   432S   473S   471S   394S   344S   385C   519S   513S
USC00016988         563S   525S   603S   462S   443S   637S   814S   705R   572R   414S   526S   468S
USC00017020         537R   573R   563R   457R   419R   382R   540R   490R   396R   289R   505R   507R
USC00017025         402R   504R   515R   403R   346R   546R   565R   385R   379R   286R   451R   514R
USC00017131         492R   522R   475S   490S   600R   387S   486R   374S   387S   363S   493S   593S
USC00017157         569R   572S   533S   487S   545S   450S   444R   394R   445S   394S   518S   562S
USC00017207         505S   504S   508S   451S   436C   419R   458S   371S   411S   318S   492S   492S
USC00017304         558S   537S   513S   441C   503R   399S   472S   421S   417S   344S   517S   572S
USC00017326         455Q   462Q   586Q   360Q   332Q   424Q   474Q   403Q   359Q   314Q   436Q   455Q
USC00017366         475S   503C   547C   393S   326S   407C   472S   442C   332S   268C   455S   489S
USC00017947         544R   531S   487R   498R   612S   443R   446S   391S   379S   402S   494R   585R
USC00017999         488S   551S   531S   431S   426S   425S   485S   379S   397S   347S   480S   485C
USC00018024         516S   577S   543S   433R   471S   470S   487S   386S   351C   363S   503R   455S
USC00018038         413S   481C   521S   381C   355C   420S   430C   356S   294S   266S   395S   440S
USC00018178         558S   510S   582S   403S   443S   462S   612S   396S   414S   354S   524C   523S
USC00018209         509S   553S   566R   445S   404S   445S   508R   421S   383S   325S   495S   470S
USC00018323         459S   426C   586S   401S   355S   513S   535S   422S   355S   304S   423S   426R
USC00018380         537S   561S   484S   432S   414S   450S   510S   376S   356S   380S   521S   474S
USC00018385         517S   531S   470S   425S   411S   455S   419S   376S   320S   365S   456S   440S
USC00018438         481C   460S   605S   395C   408C   522C   532C   448C   412S   306C   506C   467S
USC00018469         544C   553C   504C   454C   465C   413C   522C   352C   442C   343S   499S   506S
USC00018517         544R   565R   560R   493R   558R   453R   456R   278R   346R   376R   548R   556R
USC00018605         506R   547R   574R   394R   422R   454R   495R   295R   347R   348R   459R   445R
USC00018608         484Q   505Q   538Q   447Q   435Q   469Q   483Q   450Q   353Q   376Q   446Q   517Q
USC00018648         550R   540R   505R   459R   481R   512R   424R   391R   415R   366R   460R   485R
USC00018653         518R   555R   641R   408R   369R   454R   570R   448R   425R   314R   431R   486R
USC00018673         562C   565C   539C   496C   426C   407S   517S   402S   355C   356S   492S   485C
USC00018755         492R   487R   468R   415R   380R   407R   427R   338R   319R   326R   491R   447R
USC00018809         559C   579S   542C   438C   452C   493C   502C   376C   458C   361S   533C   499C
USC00018812         547Q   513Q   549Q   441Q   644Q   473Q   512Q   351Q   405Q   379Q   503Q   536Q
USC00018859         445S   527S   566S   388S   337S   422S   493S   430S   337S   290C   420S   474S
USC00018867         573S   566R   597S   418S   429R   526S   631S   372S   426R   329R   504R   577R
USC00018998         557S   582S   523S   516S   555C   533C   444C   401S   364C   408S   533S   610C
USC00020060          87R   136R    93R    18R    10S    12S   104R   124R    77R    89R    54R    84R
USC00020080          83R    73R    70R    25R     4R     3R    71R   151R    51R    40R    34R    79R
USC00020100         103C   120C    85C    26C    10C     7S    64S   174S    87C    66C    73S    67S
USC00020159         126R   119S   116S    74R    75S    95S   399R   466S   228S   197S   135R   164R
USC00020174         194R   149R   131R    85R    80R    73R   326R   361R   246R   202R   155R   204R
USC00020287          80S    73R    61R    30R    24S    23S   262R   248R   130S    70S    50S    90R
USC00020288         169R   160R   162R    56R    29R    10R   112R   163R   112R    76R   121R   158R
USC00020380         130R   134R   114R    52R    28R    45R   415R   425R   171R   118R    80R   157R
USC00020404         103Q   101Q   106Q    33Q    20Q    12Q   126Q   146Q    87Q    71Q    71Q   107Q
USC00020498         119S   128S   143S    48S    15S     3S    91R   158S    95S    58S    64S   109S
USC00020586         211R   236R   187R    81R    30R    28R   122R   231R   163R   112R   105R   165R
USC00020632         176R   172R   180R    63S    29S    16S   139R   195R   116R   112R   116R   167R
USC00020670         140R   151R   175R    69R    35S     9R   175R   209R   196R   116R   118R   127R
USC00020672          88S   108S    81R    39R    21S    22R    53R    59R    42R    71R    54R    80S
USC00020678         204R   248R   164R   129R    60R    22R   236R   324R   146R   178R   131R   173R
USC00020683          72R    68R    64R    35R    22R    47R   281R   304R   128R    96R    49R   104R
USC00020750         148R   106R   117R    85S    51C    25S   118S   171S   124R   111R   102R   122R
