AQW00061705          44C    48C    53C    29C    10C     1C     2C     1C     4C     7C    21C    33C
USC00013761           0S     0S     0S     4S    67S   178S   228C   213C   108S     9S     0C     0S
USC00013775           0S     0S     0S     0S     6S    62S   125S   114S    37S     0S     0S     0S
USC00013781           0Q     0Q     0Q     4Q    29Q   133Q   216Q   190Q    84Q     1Q     0Q     0Q
USC00013816           0S     0S     0S     1S    22S   103C   142S   140S    63S     5S     0S     0S
USC00014193           0S     0S     0S     3S    39S   144R   200S   189S    88S     8S     0S     0S
USC00014226           0R     0R     0R     1R    15R   104R   174R   167R    64R     2R     0R     0R
USC00014502           0R     0R     0R     1S    25R   104R   175R   147R    58R     2R     0R     0R
USC00014798           0S     0S     0S     3S    32S   136R   203R   204R    92S     6R     0S     0S
USC00015121           0C     0C     0C -7777C    32C   119C   191C   163C    74C     6C     0C     0C
USC00015140           0R     0R     0R     1R    10R   102R   180R   146R    57R     1R     0R     0R
USC00015439           0S     0S     0S     1C    37S   142S   185S   177R    80S     5R     0C     0S
USC00015553           0R     0R     0R     3R    44R   136R   205R   183R    76R     8R     0R     0R
USC00015635           0S     0S     0S     0S     8S    71S   145S   155S    45S     0S     0S     0S
USC00015752           0Q     0Q     0Q     0Q     2Q    41Q   116Q   122Q    23Q     0Q     0Q     0Q
USC00016000           0Q     0Q     0Q     6Q    12Q    96Q   141Q   133Q    50Q     4Q     0Q     0Q
USC00016121           0S     0S     0R     1R    15R    96R   179R   156S    61S     2R     0R     0R
USC00016129           0S     0S     0R -7777R    12R    99R   154R   131R    48R -7777S     0S     0S
USC00016196           0Q     0Q     0Q     2Q     8Q    60Q   127Q   164Q    64Q     3Q     0Q     0Q
USC00016478           0C     0C     0C     3C    19C    91C   149C   153S    58C     3C     0C     0C
USC00016988           0S     0S     0S     1S    26S   119S   177S   174S    72S     4S     0S     0S
USC00017020           0R     0R     0R     0R     7R    82R   142R   103R    34R     0R     0R     0R
USC00017025           0R     0R     0R     2R    27R   112R   159R   125R    49R     2R     0R     0R
USC00017131           0S     0S     0S     1S     9S    88S   146S   152S    52S     1S     0S     0S
USC00017157           0S     0S     0S     2S    25S   123S   202S   198S    75S     3S     0S     0S
USC00017207           0C     0C     0C     0S     2S    43C    98C    95C    29S     0C     0C     0S
USC00017304           0S     0C     0S     1C    14R    98S   168S   168S    65S     2S     0S     0S
USC00017366           0S     0C     0C     2C    45C   166S   225C   205C    91S     9C     0C     0S
USC00017999           0S     0S     0S -7777S    13S    88S   157S   141S    57S     1S     0S     0S
USC00018024           0S     0S     0S     0S    14S   112S   175S   168S    56S -7777S     0S     0S
USC00018178           0S     0S -7777S     1S    38S   131S   193S   196S    97S     8S     0S     0S
USC00018209           0S     0S     0S     1S    17C   104C   164C   156C    58S     3C     0S     0S
USC00018323           0S     0S     0S     0S    27R   123S   176S   166S    64S     3S     0S     0S
USC00018380           0S     0S -7777S     5S    52S   169S   230S   224S   114S     9S     0S     0S
USC00018438           0C     0S     0C     2C    20C   118C   174C   157C    66S     5C     0C     0S
USC00018469           0C     0C     0C -7777C     3C    59C   118C   110C    36C     0C     0C     0C
USC00018517           0S     0S     0S     2S    23S   126S   210S   205S    82R     6S     0R     0S
USC00018812           0Q     0Q     0Q     0Q     0Q    10Q   117Q   107Q    60Q     0Q     0Q     0Q
USC00018859           0Q     0Q     0Q     1Q    16Q   110Q   165Q   156Q    78Q     3Q     0Q     0Q
USC00018867           0R     0R     0R     2R    20R   124R   179R   188R    70R     4R     0R     0R
USC00018998           0S     0S     0S -7777S     8S    77S   137S   140S    47S     0S     0S     0S
USC00020060           0R     0R     4R    43R   155R   268R   300R   293R   236R    75R     2R     0R
USC00020080           0Q -7777Q    21Q    82Q   191Q   286Q   306Q   303Q   271Q   150Q    14Q     0Q
USC00020100           0C     0C    22C   105C   238C   292S   308C   306C   282C   153C     9C     0C
USC00020159           0S     0S     0S     0S -7777S     1S     2S     0S     0S     0S     0S     0R
USC00020170           0Q     0Q     0Q     0Q     0Q     0Q     1Q     0Q     0Q     0Q     0Q     0Q
USC00020287           0S     1S     5S    44S   174S   282S   289S   276S   236S    74S     4C     0S
USC00020288           0R     0R     5R    69R   223R   294R   309R   307R   280R   122R     4R     0R
USC00020404           0Q     0Q    22Q   111Q   249Q   299Q   310Q   304Q   284Q   159Q    10Q     0Q
USC00020586           0R     0R     0R     1R    34R   169R   245R   205R    93R     9R     0R     0R
USC00020632           0R     0R     8R    70R   207R   291R   307R   302R   273R   121R    13R     0R
USC00020670           0R     0R     4R    16R   118R   253R   284R   285R   193R    39R     0R     0R
USC00020672           0S     0S     6R    53S   177S   277R   306R   304R   250R    79R -7777R     0S
USC00020678           0R     0R     0R     0R     0R     0R     3R     0R     0R     0R     0R     0R
USC00020683           0R     0R     0R    16R   134R   266R   259R   225R   171R    29R     0R     0R
USC00020750           0S     0S     0S     0S     3S    25S    68S    24S     1S -7777S     0S     0S
USC00020775           0R     0R     0R     1R    17R   134R   108R    18R     4R     0R     0R     0R
USC00020808           0S     0S     0S     0S     7S    80S   104S    49S     5S     2S     0S     0S
USC00020871           0R     0R     0R     0S -7777S    10S    24S     5S     0S     0R     0R     0R
USC00020949           0C     1C    15S    99C   237C   293C   310C   308C   277C   131C     3C     0C
USC00020958           0S     0S     1S    15S   141S   275S   285S   249S   169S    24S     0S     0S
USC00021001           0S     0R     0R     0R     0R     0S     1S     0S     0S     0S     0R     0R
USC00021026           0R     1R    19R   118R   260R   298R   309R   308R   287R   166R     6R     0R
USC00021050           0S     2S    37S   129S   259S   296S   310S   309S   291S   176C     7S     0S
USC00021169           0R     0R     0R    12R    73R   230R   293R   263R   113R     4R     0R     0R
USC00021231           0S     0S     0S     3S    43S   173S   132S    49S    26S     1S     0S     0S
USC00021248           0S     0S     0S     0S    15S   130C   202C   111S    22S     0C     0S     0S
USC00021282           0R     0R     6R    47R   179S   283S   307S   305R   259R    78R     2R     0R
USC00021306           0R     2R    28R   131R   263R   298R   309R   307R   290R   174R    16R     0R
USC00021314           0S -7777S    13S   106S   247S   295S   308S   303S   283S   157S    12S     0S
USC00021330           0S     0S     6S    34S   171S   287S   285S   264S   219S    61S     1S     0S
USC00021353           0S -7777S     5S    42S   172S   277C   306S   302S   255S    89S     5C     0S
USC00021357           0Q     0Q     0Q    35Q   190Q   295Q   302Q   287Q   259Q    95Q     0Q     0Q
USC00021514           0R     0R     4R    76S   226R   292R   308R   299R   268R    92R     4R     0R
USC00021574           0R     0R     0R     0R     0R    10R    15R     1R     0R     0R     0R     0R
USC00021614           0R     0R     3R    44R   163R   277R   303R   291R   233R    76R     4R     0R
USC00021654           0Q     0Q     0Q -7777Q    23Q   142Q   212Q   178Q    49Q     2Q     0Q     0Q
USC00021664           0R     0R     0S     2R    26R   159R   142R    75R    34R     4R     0R     0R
USC00021849           0R     0R     1R    19R   138R   276R   291R   271R   195R    31R     0R     0R
USC00021920           0R     0R     0R -7777S    20S   131S   223S   166S    45R -7777S     0S     0S
USC00022109           0C     0C     0C     4C    50C   200C   265C   239S   130C    18S     0C     0C
USC00022140           0C     0C     0C     2S    41C   171C   142S    58S    29C     1S     0S     0S
USC00022329           0R     0R     0R     0R     6R    75R   121R    47R    11R     0R     0R     0R
USC00022434           0R     3S    22R   100R   240R   292R   309R   308R   284R   153R    15R     0R
USC00022527           0R     0R     0R     0R    17R   117R   178R   121R    33R     1R     0R     0R
USC00022659           0R     0R     1R    13R   140R   278R   260R   209R   165R    37R -7777R     0R
USC00022754           0S     0S     1S    25S   152S   278S   287C   264S   194S    39S     0S     0S
USC00022782           0Q     0Q    25Q    83Q   241Q   298Q   310Q   307Q   281Q   147Q    14Q     0Q
USC00022790           0S     2S    19S   103S   237R   291S   310R   310S   278S   153R     5S     0S
USC00022807           0R     0R    26R   120R   250R   299R   310R   307R   283R   158R     7R     0R
USC00023009           0R     0R     0R     0R     0R     2R    14R     3R     0R     0R     0R     0R
USC00023027           0S     1R    12S    97S   233S   292S   308S   303S   275S   128S     8S     0S
USC00023110           0Q     0Q     0Q     0Q    55Q   224Q   193Q   157Q   102Q    14Q     0Q     0Q
USC00023150           0S     0C     2C    32C   165C   281C   288C   274S   214S    46S -7777S     0S
USC00023160           0S     0S     0S     0S     0S     5S    13C     1S     0S     0S     0S     0S
USC00023190           0S     0S     8S    72S   208S   288S   307S   304S   269S   118S     2S     0S
USC00023250           0Q     0Q     0Q     0Q    16Q   159Q   262Q   195Q    28Q     0Q     0Q     0Q
USC00023303           0R     0R     0R     0R     4R    60R   127R    69R     8R     1R     0R     0R
USC00023393           0C     2C    36C   139C   266C   297C   310S   309C   289C   195C    21C     0S
USC00023505           0R     0R     0R    10R    80R   239R   273R   251R   147R    30R     0R     0R
USC00023596           0S     0S     0S     0S     4S    34S    72S    23S     2S     0S     0S     0S
USC00023668           0R     0R     5R    37R   185R   286R   285R   279R   244R    95R     4R     0R
USC00023683           0S     0S     0S     0S     0S     0S     1C     0S     0S     0S     0S     0S
USC00023828           0R     0R     0R     0R     0R -7777S     6R     0S     0S     0R     0R     0R
USC00023961           0Q     0Q     0Q     0Q     3Q    23Q    30Q     5Q     2Q     0Q     0Q     0Q
USC00024053           0R     0R     0R    12R    81R   225R   282R   263R   159R    24R     0R     0R
USC00024089           0C     0S     0S     1S    27S   148S   218S   152S    37S     1S     0S     0S
USC00024453           0S     0S     0S     0S    18S   121S   183S   102S    25S     0S     0S     0S
USC00024586           0R     0R     0R     0R     6R    75R   151R    51R     8R     0R     0R     0R
USC00024645           0R     0R     0R     4R    47R   184R   264R   247R   122R    14R     0R     0R
USC00024675           0S     0S     0S     0S -7777S    11S    14S     1S     0R     0R     0R     0S
USC00024686           0R     0R     0R     0R     7R    64R   118R    43R     7R     0R     0R     0R
USC00024702           0C     1C    10C    70C   192C   280S   308C   303S   263S   115C     6C     0C
USC00024759           0R     1R    31R   107R   240R   299R   310R   307R   277R   156R     6R     0R
USC00024761           0R     0R    13R    92R   237R   293R   309R   308R   282R   149R     3R     0R
USC00024829           0S     0S    22S   113S   247S   295S   308S   306S   280S   143S     7S     0S
USC00024849           0R     0R     0R    23R   150R   270R   304R   292R   187R    20R     0R     0R
USC00024977           0R     0R    11R    83R   228R   293R   307R   303R   274R   119R     0R     0R
USC00025129           0R     0R     0R -7777R     1R    32R    98R    31R     3R     0R     0R     0R
USC00025270           0C -7777C    30C   126C   264C   298C   310C   308C   287C   167C    15C     0C
USC00025412           0S     0S     0C     0S     0C     4C    10S     0C     0S     0S     0S     0S
USC00025426           0Q     0Q     0Q    10Q   123Q   256Q   300Q   300Q   207Q    33Q     0Q     0Q
USC00025512           0S     0S     4S    25S   115S   260S   287S   276R   213S    62S     1S     0S
USC00025635           0S     0S     4S    35S   152S   271S   294S   286S   218S    56S -7777S     0S
USC00025665           0S     0S     0R     0R    12R   119R   225R   127R    19R     0R     0R     0R
USC00025700           0R     0R     8R    67R   208R   295R   308R   303R   269R    97R     6R     0R
USC00025780           0R     0R     0R     0R     0R     6R    18R     2R     0R     0R     0R     0R
USC00025825           0Q     0Q     0Q     0Q     8Q   124Q   182Q   116Q    31Q     0Q     0Q     0Q
USC00025924           0C     0S     1S    13S   112S   254S   240S   208S   172S    47S     0S     0S
USC00026037           0R     0R     0S     0R    26S   104S   166S   112S    41S     1S     0S     0S
USC00026119           0C     0C     0C     0C    41S   190S   199S   116R    49S     2S     0S     0S
USC00026132       -7777S     3S    23S    88S   221S   287S   308S   304S   278S   144S    16S     0S
USC00026180           0S     0S     0S     1S    43S   186S   275S   218S    77S     0S     0S     0S
USC00026190           0Q     0Q     0Q     0Q    21Q   160Q   232Q   118Q    11Q     0Q     0Q     0Q
USC00026194           0Q     1Q    35Q   103Q   252Q   299Q   310Q   310Q   290Q   166Q    15Q     0Q
USC00026242           0Q     0Q     0Q     0Q    15Q   122Q    48Q    10Q     0Q     0Q     0Q     0Q
USC00026250           0R     2R    28R   122R   263R   295R   310R   309R   286R   178R    13R     0R
USC00026353           0R     0R     0R     5R    86R   230R   202R   163R    97R     6R     0R     0R
USC00026468           0S     0C     0C -7777S    30C   173C   228C   157C    43C     0S     0C     0S
USC00026471           0S     0S     5S    64S   205S   291S   307S   300S   239S    48S     0S     0S
USC00026513           0R     0R     9R   105R   242R   297R   308R   301R   283R   124R     8R     0R
USC00026597           0R     0R     0R     0R     0R    20R    21R     1R     0R     0R     0R     0R
